tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
180.0,158.0,181.0,259.0,329.0,35.5048884402,76.9862993266,180.883452202,355.89243029,497.010112903,45.0,53.0,38.0,26.0,43.0
158.0,181.0,259.0,329.0,432.0,76.9862993266,180.883452202,355.89243029,497.010112903,619.861352261,53.0,38.0,26.0,43.0,53.0
181.0,259.0,329.0,432.0,657.0,180.883452202,355.89243029,497.010112903,619.861352261,673.553592768,38.0,26.0,43.0,53.0,50.0
259.0,329.0,432.0,657.0,708.0,355.89243029,497.010112903,619.861352261,673.553592768,647.3027667,26.0,43.0,53.0,50.0,62.0
329.0,432.0,657.0,708.0,715.0,497.010112903,619.861352261,673.553592768,647.3027667,495.244267286,43.0,53.0,50.0,62.0,70.0
432.0,657.0,708.0,715.0,739.0,619.861352261,673.553592768,647.3027667,495.244267286,473.155334365,53.0,50.0,62.0,70.0,-1000000000.0
657.0,708.0,715.0,739.0,687.0,673.553592768,647.3027667,495.244267286,473.155334365,341.369923263,50.0,62.0,70.0,-1000000000.0,-1000000000.0
708.0,715.0,739.0,687.0,565.0,647.3027667,495.244267286,473.155334365,341.369923263,260.466735186,62.0,70.0,-1000000000.0,-1000000000.0,-1000000000.0
715.0,739.0,687.0,565.0,463.0,495.244267286,473.155334365,341.369923263,260.466735186,199.845121817,70.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
739.0,687.0,565.0,463.0,500.0,473.155334365,341.369923263,260.466735186,199.845121817,162.967574908,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,86.0
687.0,565.0,463.0,500.0,441.0,341.369923263,260.466735186,199.845121817,162.967574908,70.6134034622,-1000000000.0,-1000000000.0,-1000000000.0,86.0,81.0
565.0,463.0,500.0,441.0,352.0,260.466735186,199.845121817,162.967574908,70.6134034622,95.6357619906,-1000000000.0,-1000000000.0,86.0,81.0,105.0
463.0,500.0,441.0,352.0,428.0,199.845121817,162.967574908,70.6134034622,95.6357619906,73.695637941,-1000000000.0,86.0,81.0,105.0,84.0
500.0,441.0,352.0,428.0,776.0,162.967574908,70.6134034622,95.6357619906,73.695637941,56.5365571566,86.0,81.0,105.0,84.0,124.0
441.0,352.0,428.0,776.0,552.0,70.6134034622,95.6357619906,73.695637941,56.5365571566,21.3253436381,81.0,105.0,84.0,124.0,131.0
352.0,428.0,776.0,552.0,390.0,95.6357619906,73.695637941,56.5365571566,21.3253436381,47.575625799,105.0,84.0,124.0,131.0,188.0
428.0,776.0,552.0,390.0,778.0,73.695637941,56.5365571566,21.3253436381,47.575625799,53.5552236889,84.0,124.0,131.0,188.0,194.0
776.0,552.0,390.0,778.0,965.0,56.5365571566,21.3253436381,47.575625799,53.5552236889,46.3610768902,124.0,131.0,188.0,194.0,133.0
552.0,390.0,778.0,965.0,734.0,21.3253436381,47.575625799,53.5552236889,46.3610768902,23.9679271147,131.0,188.0,194.0,133.0,182.0
390.0,778.0,965.0,734.0,597.0,47.575625799,53.5552236889,46.3610768902,23.9679271147,20.412448598,188.0,194.0,133.0,182.0,-1000000000.0
778.0,965.0,734.0,597.0,687.0,53.5552236889,46.3610768902,23.9679271147,20.412448598,11.1617393688,194.0,133.0,182.0,-1000000000.0,-1000000000.0
965.0,734.0,597.0,687.0,515.0,46.3610768902,23.9679271147,20.412448598,11.1617393688,9.87047033778,133.0,182.0,-1000000000.0,-1000000000.0,-1000000000.0
734.0,597.0,687.0,515.0,461.0,23.9679271147,20.412448598,11.1617393688,9.87047033778,5.77822109941,182.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
597.0,687.0,515.0,461.0,507.0,20.412448598,11.1617393688,9.87047033778,5.77822109941,6.92131087505,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,146.0
687.0,515.0,461.0,507.0,387.0,11.1617393688,9.87047033778,5.77822109941,6.92131087505,3.82338881005,-1000000000.0,-1000000000.0,-1000000000.0,146.0,125.0
515.0,461.0,507.0,387.0,277.0,9.87047033778,5.77822109941,6.92131087505,3.82338881005,2.96877800554,-1000000000.0,-1000000000.0,146.0,125.0,130.0
461.0,507.0,387.0,277.0,312.0,5.77822109941,6.92131087505,3.82338881005,2.96877800554,2.17634420877,-1000000000.0,146.0,125.0,130.0,128.0
507.0,387.0,277.0,312.0,320.0,6.92131087505,3.82338881005,2.96877800554,2.17634420877,1.98546157179,146.0,125.0,130.0,128.0,151.0
387.0,277.0,312.0,320.0,322.0,3.82338881005,2.96877800554,2.17634420877,1.98546157179,0.978787874281,125.0,130.0,128.0,151.0,138.0
277.0,312.0,320.0,322.0,310.0,2.96877800554,2.17634420877,1.98546157179,0.978787874281,0.429011771492,130.0,128.0,151.0,138.0,168.0
312.0,320.0,322.0,310.0,418.0,2.17634420877,1.98546157179,0.978787874281,0.429011771492,0.588136884331,128.0,151.0,138.0,168.0,190.0
320.0,322.0,310.0,418.0,421.0,1.98546157179,0.978787874281,0.429011771492,0.588136884331,0.434288762569,151.0,138.0,168.0,190.0,154.0
322.0,310.0,418.0,421.0,351.0,0.978787874281,0.429011771492,0.588136884331,0.434288762569,0.328463335931,138.0,168.0,190.0,154.0,-1000000000.0
310.0,418.0,421.0,351.0,234.0,0.429011771492,0.588136884331,0.434288762569,0.328463335931,0.180427713092,168.0,190.0,154.0,-1000000000.0,-1000000000.0
418.0,421.0,351.0,234.0,210.0,0.588136884331,0.434288762569,0.328463335931,0.180427713092,0.206941027223,190.0,154.0,-1000000000.0,-1000000000.0,-1000000000.0
421.0,351.0,234.0,210.0,267.0,0.434288762569,0.328463335931,0.180427713092,0.206941027223,0.111258570392,154.0,-1000000000.0,-1000000000.0,-1000000000.0,101.0
351.0,234.0,210.0,267.0,158.0,0.328463335931,0.180427713092,0.206941027223,0.111258570392,0.0878170115126,-1000000000.0,-1000000000.0,-1000000000.0,101.0,75.0
234.0,210.0,267.0,158.0,102.0,0.180427713092,0.206941027223,0.111258570392,0.0878170115126,0.0111739914399,-1000000000.0,-1000000000.0,101.0,75.0,71.0
210.0,267.0,158.0,102.0,243.0,0.206941027223,0.111258570392,0.0878170115126,0.0111739914399,0.0,-1000000000.0,101.0,75.0,71.0,76.0
267.0,158.0,102.0,243.0,133.0,0.111258570392,0.0878170115126,0.0111739914399,0.0,0.0,101.0,75.0,71.0,76.0,72.0
158.0,102.0,243.0,133.0,271.0,0.0878170115126,0.0111739914399,0.0,0.0,0.0,75.0,71.0,76.0,72.0,66.0
102.0,243.0,133.0,271.0,120.0,0.0111739914399,0.0,0.0,0.0,0.0,71.0,76.0,72.0,66.0,78.0
243.0,133.0,271.0,120.0,153.0,0.0,0.0,0.0,0.0,0.0,76.0,72.0,66.0,78.0,85.0
133.0,271.0,120.0,153.0,148.0,0.0,0.0,0.0,0.0,0.0,72.0,66.0,78.0,85.0,60.0
271.0,120.0,153.0,148.0,176.0,0.0,0.0,0.0,0.0,0.0,66.0,78.0,85.0,60.0,60.0
120.0,153.0,148.0,176.0,142.0,0.0,0.0,0.0,0.0,0.0,78.0,85.0,60.0,60.0,58.0
153.0,148.0,176.0,142.0,164.0,0.0,0.0,0.0,0.0,0.0,85.0,60.0,60.0,58.0,48.0
