Year,Week #,Ending,HHS Region 1,HHS Region 2,HHS Region 3,HHS Region 4,HHS Region 5,HHS Region 6,HHS Region 7,HHS Region 8,HHS Region 9,HHS Region 10,MA,MS,NC,RI,TX,TN,MS District 1,MS District 2,MS District 3,MS District 4,MS District 5,MS District 6,MS District 7,MS District 8,MS District 9,TN District 9 (Hamilton County (Chattanooga)),TN District 11 (East Tennessee Region),TN District 3 (Jackson-Madison County),TN District 10 (Knoxville-Knox County),TN District 4 (Mid-Cumberland Region),TN District 1 (Shelby County (Memphis)),TN District 5 (Nashville-Davidson County),TN District 12 (Northeast Region),TN District 6 (South Central Region),TN District 8 (Southeast Region),TN District 13 (Sullivan County (Tri-Cities)),TN District 7 (Upper Cumberland Region),TN District 2 (West Tennessee Region)
2013,32,8/10/2013,0.53%,0.92%,0.65%,0.54%,0.71%,1.21%,0.86%,0.66%,1.00%,0.22%,0.59%,NaN,NaN,NaN,2.32%,0.01%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%
2013,33,8/17/2013,0.45%,0.79%,0.75%,0.60%,0.88%,1.32%,0.66%,0.57%,0.98%,0.17%,0.45%,NaN,NaN,NaN,2.79%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.70%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%
2013,34,8/24/2013,0.45%,0.86%,0.72%,0.77%,0.77%,1.41%,0.56%,0.54%,0.85%,0.16%,0.53%,NaN,NaN,NaN,2.68%,0.10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,1.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%
2013,35,8/31/2013,0.41%,0.82%,0.78%,0.85%,0.84%,1.71%,0.22%,0.98%,1.19%,0.16%,0.38%,NaN,NaN,NaN,3.32%,0.15%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.90%,0.20%,0.10%,0.20%,0.00%,0.00%,0.60%,0.00%,0.00%,0.50%,0.30%
2013,36,9/7/2013,0.35%,0.81%,0.95%,0.87%,0.94%,2.14%,0.78%,0.80%,1.30%,0.16%,0.26%,NaN,NaN,NaN,4.38%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2013,37,9/14/2013,0.40%,0.86%,1.13%,0.90%,1.04%,2.26%,0.92%,0.43%,1.32%,0.26%,0.43%,NaN,NaN,NaN,4.15%,0.17%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.20%,0.60%,0.10%,0.80%,0.00%,0.20%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%
2013,38,9/21/2013,0.47%,1.23%,1.22%,0.85%,1.13%,2.37%,0.83%,0.46%,1.35%,0.32%,0.53%,NaN,NaN,NaN,4.49%,0.18%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,1.20%,0.10%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%
2013,39,9/28/2013,0.61%,1.42%,1.23%,1.02%,1.13%,2.58%,0.36%,0.65%,1.61%,0.34%,0.50%,2.60%,NaN,NaN,4.63%,0.30%,1.80%,1.50%,6.20%,2.40%,0.30%,9.60%,2.40%,1.10%,3.10%,0.00%,0.20%,2.00%,0.20%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.30%
2013,40,10/5/2013,0.62%,1.43%,1.09%,1.02%,1.14%,2.10%,0.34%,0.76%,1.11%,0.47%,0.62%,3.10%,0.35%,0.09%,3.69%,0.31%,1.60%,2.30%,5.70%,2.70%,0.30%,10.30%,2.20%,2.30%,4.00%,0.00%,0.40%,0.70%,0.40%,0.80%,0.00%,0.90%,0.00%,0.50%,0.00%,0.00%,0.00%,0.30%
2013,41,10/12/2013,0.64%,1.35%,1.17%,1.09%,1.24%,2.22%,0.44%,0.85%,1.34%,0.45%,0.70%,2.90%,0.86%,0.11%,3.77%,0.21%,1.20%,4.20%,4.40%,2.00%,0.50%,8.40%,2.70%,2.20%,4.30%,0.00%,0.20%,1.20%,0.20%,0.50%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%
2013,42,10/19/2013,0.73%,1.46%,1.23%,1.20%,1.24%,2.35%,0.40%,0.72%,1.33%,0.55%,0.84%,3.60%,0.74%,0.10%,4.19%,0.32%,1.20%,8.20%,5.30%,2.70%,0.50%,8.30%,2.60%,2.10%,6.00%,0.00%,0.30%,0.70%,0.00%,0.70%,0.00%,0.70%,1.70%,0.00%,0.00%,0.00%,0.00%,0.40%
2013,43,10/26/2013,0.69%,1.61%,1.33%,1.46%,1.35%,2.42%,0.49%,0.91%,1.28%,0.50%,0.71%,4.10%,0.73%,0.17%,3.84%,0.24%,1.10%,8.60%,6.40%,3.40%,0.70%,4.70%,2.70%,3.10%,7.50%,0.00%,0.10%,0.40%,0.50%,0.60%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%
2013,44,11/2/2013,0.72%,1.69%,1.33%,1.54%,1.42%,2.50%,0.50%,0.91%,1.46%,0.53%,0.75%,4.70%,0.82%,0.33%,3.95%,0.36%,1.20%,7.80%,10.40%,3.50%,0.50%,10.60%,2.00%,2.20%,8.50%,0.10%,0.40%,1.80%,0.40%,0.30%,0.20%,0.20%,0.00%,0.00%,0.00%,0.00%,0.20%,0.30%
2013,45,11/9/2013,0.78%,1.75%,1.34%,1.77%,1.45%,2.86%,0.53%,0.94%,1.68%,0.40%,0.79%,4.80%,0.89%,0.15%,4.56%,0.39%,1.50%,9.60%,7.20%,3.20%,0.50%,12.70%,2.80%,3.50%,8.60%,0.00%,0.30%,0.00%,0.70%,1.30%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%
2013,46,11/16/2013,0.79%,1.76%,1.44%,1.81%,1.44%,3.17%,0.47%,0.87%,1.62%,0.53%,0.86%,5.30%,0.99%,0.11%,5.16%,0.54%,2.00%,12.50%,10.30%,3.40%,0.70%,12.80%,3.00%,5.60%,8.20%,0.40%,0.40%,1.80%,0.80%,0.70%,0.00%,0.70%,0.00%,0.00%,0.10%,0.00%,0.20%,0.00%
2013,47,11/23/2013,0.71%,1.91%,1.46%,2.01%,1.49%,3.43%,0.58%,1.27%,1.66%,0.48%,0.81%,5.00%,0.87%,0.26%,5.83%,0.85%,2.60%,8.80%,7.30%,3.20%,0.80%,13.80%,3.70%,6.20%,7.40%,0.10%,1.70%,1.70%,0.60%,0.90%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,0.50%,0.50%
2013,48,11/30/2013,0.93%,2.25%,1.76%,2.49%,1.99%,4.13%,0.57%,1.36%,1.95%,0.66%,1.05%,6.20%,1.45%,0.23%,6.93%,1.12%,4.80%,16.50%,5.20%,7.00%,1.80%,14.70%,3.40%,5.40%,7.70%,0.20%,2.30%,1.30%,0.50%,0.30%,0.00%,2.90%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%
2013,49,12/7/2013,0.82%,2.30%,1.77%,2.79%,1.92%,4.61%,0.66%,1.64%,1.84%,0.64%,0.84%,6.00%,1.23%,0.34%,7.21%,1.80%,6.00%,10.70%,8.00%,6.40%,2.00%,15.20%,5.10%,5.60%,5.80%,0.70%,4.70%,1.20%,0.60%,0.50%,0.00%,0.80%,1.00%,0.70%,1.00%,0.00%,0.00%,0.40%
2013,50,12/14/2013,1.03%,2.32%,1.88%,2.81%,2.09%,5.34%,0.80%,1.73%,2.09%,0.92%,1.24%,6.60%,1.47%,0.22%,8.26%,0.30%,4.50%,13.70%,13.40%,8.30%,1.20%,15.60%,6.50%,5.00%,6.00%,0.70%,2.40%,3.30%,0.70%,1.60%,0.00%,0.00%,0.00%,5.30%,0.30%,0.00%,1.50%,0.20%
2013,51,12/21/2013,1.14%,2.63%,2.30%,3.66%,2.51%,6.90%,1.36%,2.28%,2.57%,1.81%,1.31%,7.70%,2.07%,0.17%,12.64%,1.30%,6.80%,12.40%,16.10%,12.20%,1.80%,14.40%,12.40%,4.10%,4.60%,1.60%,4.70%,0.00%,0.00%,0.00%,0.30%,3.80%,0.20%,7.10%,3.10%,0.00%,0.00%,0.00%
2013,52,12/28/2013,1.74%,3.37%,3.30%,4.97%,4.04%,9.22%,2.30%,3.84%,3.70%,4.73%,1.88%,8.00%,4.74%,0.41%,13.75%,1.60%,6.20%,16.20%,13.60%,12.70%,2.00%,15.40%,11.00%,7.00%,6.40%,1.40%,5.50%,8.40%,3.30%,6.60%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.50%
2014,1,1/4/2014,1.74%,3.50%,3.74%,4.23%,3.89%,8.27%,2.10%,3.02%,3.74%,4.99%,1.94%,7.50%,3.91%,0.77%,12.03%,6.65%,5.80%,17.20%,9.20%,9.90%,4.70%,12.00%,10.50%,5.30%,6.50%,2.80%,11.00%,6.60%,2.40%,2.00%,0.00%,6.80%,3.60%,0.00%,9.90%,1.40%,0.00%,1.10%
2014,2,1/11/2014,1.42%,2.86%,3.72%,3.23%,3.08%,6.89%,1.69%,2.66%,3.46%,3.90%,1.33%,6.30%,2.70%,1.10%,9.83%,6.40%,3.50%,16.20%,6.80%,4.70%,2.20%,14.90%,6.50%,6.60%,7.20%,1.60%,16.40%,4.20%,3.30%,1.80%,3.80%,10.10%,1.80%,0.50%,4.80%,0.20%,0.50%,0.70%
2014,3,1/18/2014,1.74%,3.12%,4.15%,2.91%,2.68%,5.75%,1.82%,2.37%,3.58%,2.96%,1.82%,5.50%,3.25%,1.66%,7.58%,5.34%,3.10%,7.80%,12.90%,4.90%,2.00%,14.90%,4.80%,4.40%,6.70%,1.10%,10.90%,3.30%,4.80%,2.00%,0.00%,4.20%,0.90%,0.90%,3.20%,0.00%,0.00%,0.00%
2014,4,1/25/2014,1.88%,3.03%,4.11%,3.00%,2.70%,5.11%,1.71%,2.23%,3.85%,2.40%,1.74%,5.10%,3.18%,0.93%,7.33%,4.30%,2.30%,9.40%,8.50%,4.50%,2.90%,13.20%,4.50%,4.10%,6.50%,1.70%,8.80%,2.60%,3.90%,2.80%,0.00%,4.40%,1.10%,0.00%,3.10%,0.00%,0.80%,0.70%
2014,5,2/1/2014,1.82%,2.82%,3.37%,2.59%,2.28%,4.81%,1.68%,1.93%,3.44%,1.88%,1.58%,4.90%,2.90%,1.09%,6.68%,3.34%,2.40%,8.10%,10.80%,4.90%,2.10%,10.00%,3.40%,5.20%,5.30%,1.00%,7.20%,3.50%,3.20%,1.20%,3.10%,1.60%,1.00%,0.00%,1.50%,0.20%,0.90%,0.50%
2014,6,2/8/2014,2.09%,2.81%,3.03%,2.28%,2.06%,4.09%,1.15%,1.86%,3.10%,1.65%,2.00%,4.20%,1.76%,1.44%,6.31%,1.94%,1.20%,8.80%,9.60%,5.50%,1.40%,11.60%,2.90%,2.10%,4.80%,1.10%,6.00%,4.60%,1.00%,2.10%,2.50%,1.40%,0.00%,0.00%,1.70%,0.00%,0.00%,0.00%
2014,7,2/15/2014,1.68%,2.54%,2.81%,2.04%,1.95%,3.64%,0.97%,1.65%,2.72%,1.27%,1.65%,3.80%,2.06%,1.06%,6.34%,2.48%,1.20%,5.30%,8.00%,4.40%,1.80%,9.50%,2.50%,2.80%,4.50%,0.70%,6.00%,2.90%,1.80%,1.20%,2.00%,1.10%,0.50%,0.00%,0.90%,0.30%,0.60%,0.60%
2014,8,2/22/2014,1.54%,2.27%,2.39%,1.56%,2.00%,3.42%,0.89%,1.64%,2.50%,1.24%,1.46%,3.60%,1.43%,0.72%,6.13%,1.57%,1.30%,2.50%,12.10%,3.50%,2.80%,10.70%,3.50%,2.00%,4.10%,0.60%,2.50%,1.20%,2.00%,1.10%,0.00%,2.50%,0.80%,0.90%,1.60%,0.00%,0.50%,0.00%
2014,9,3/1/2014,1.29%,2.02%,2.20%,1.39%,1.89%,3.28%,0.76%,1.37%,2.36%,0.78%,1.25%,3.10%,1.44%,0.44%,5.46%,0.00%,1.40%,2.40%,5.70%,2.60%,2.00%,8.00%,2.80%,1.70%,3.70%,1.20%,1.00%,1.50%,0.90%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,1.42%,0.00%,0.00%
2014,10,3/8/2014,1.30%,2.36%,2.01%,1.43%,1.77%,3.17%,0.63%,1.43%,2.10%,1.00%,1.30%,3.30%,1.32%,0.49%,5.95%,0.00%,0.50%,3.60%,3.10%,3.70%,1.70%,8.50%,2.70%,2.00%,4.10%,1.50%,0.30%,0.00%,2.20%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,1.66%,0.00%,0.00%
2014,11,3/15/2014,1.24%,2.69%,1.67%,1.05%,1.78%,2.78%,0.73%,1.23%,1.84%,0.62%,1.28%,2.70%,1.14%,0.64%,5.84%,0.00%,1.10%,1.30%,0.60%,3.40%,1.90%,4.30%,2.40%,1.10%,3.90%,0.60%,0.80%,0.00%,0.30%,0.40%,0.00%,0.00%,0.00%,0.20%,0.00%,1.00%,0.00%,0.00%
2014,12,3/22/2014,1.39%,3.34%,1.71%,1.03%,1.65%,2.78%,0.59%,1.12%,1.81%,0.81%,1.51%,2.30%,1.14%,0.83%,5.32%,1.17%,1.10%,1.70%,3.10%,3.00%,1.30%,7.50%,1.90%,1.10%,2.50%,0.50%,2.50%,0.70%,0.50%,2.40%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%
2014,13,3/29/2014,1.31%,3.57%,1.75%,0.94%,1.69%,2.69%,0.40%,1.02%,1.51%,0.68%,1.38%,2.30%,0.96%,0.70%,5.31%,0.00%,0.40%,0.30%,3.20%,4.40%,1.20%,6.70%,1.50%,0.70%,3.00%,0.30%,1.10%,0.00%,0.40%,0.70%,0.00%,0.10%,0.00%,0.20%,0.00%,1.29%,0.00%,0.00%
2014,14,4/5/2014,1.60%,3.50%,1.78%,0.91%,1.64%,2.60%,0.50%,1.07%,1.53%,0.89%,1.68%,2.30%,0.93%,1.19%,5.29%,0.32%,1.10%,1.10%,4.90%,2.40%,1.00%,5.70%,2.20%,1.00%,3.20%,0.10%,0.30%,0.00%,0.20%,0.80%,0.00%,1.50%,1.30%,0.00%,0.10%,0.00%,0.00%,0.00%
2014,15,4/12/2014,1.84%,3.25%,1.68%,0.81%,1.57%,2.67%,0.40%,1.00%,1.51%,0.73%,1.90%,2.20%,1.02%,1.67%,4.86%,0.00%,1.00%,1.90%,3.30%,2.40%,1.40%,7.30%,1.30%,1.20%,2.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,16,4/19/2014,1.56%,2.53%,1.34%,0.80%,1.44%,2.47%,0.36%,0.88%,1.59%,0.89%,1.54%,2.20%,1.39%,1.43%,5.22%,0.18%,0.60%,1.80%,5.00%,2.80%,1.30%,5.80%,1.40%,1.00%,2.90%,0.00%,0.40%,0.00%,0.40%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,17,4/26/2014,1.40%,1.97%,1.28%,0.78%,1.47%,2.32%,0.39%,1.04%,1.42%,0.92%,1.39%,NaN,0.81%,1.27%,4.85%,0.21%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.70%,0.20%,0.10%,0.20%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,18,5/3/2014,1.04%,1.68%,1.26%,0.72%,1.40%,2.01%,0.31%,0.88%,1.46%,0.65%,1.02%,NaN,1.10%,0.82%,4.22%,0.14%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.20%,0.00%,0.10%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%
2014,19,5/10/2014,1.04%,1.71%,1.25%,0.73%,1.55%,2.03%,0.32%,1.19%,1.47%,0.87%,1.07%,NaN,0.74%,0.47%,4.43%,0.17%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.40%,0.00%,0.00%,0.10%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%
2014,20,5/17/2014,0.90%,1.60%,1.21%,0.64%,1.36%,2.16%,0.27%,1.11%,1.52%,0.88%,1.01%,NaN,0.63%,0.19%,4.47%,0.00%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,21,5/24/2014,0.68%,1.56%,1.22%,0.79%,1.43%,2.20%,0.25%,1.15%,1.54%,0.61%,0.75%,NaN,NaN,NaN,4.84%,0.14%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,22,5/31/2014,0.66%,1.57%,1.18%,0.69%,1.20%,2.16%,0.31%,1.08%,1.47%,0.37%,0.71%,NaN,NaN,NaN,4.50%,0.09%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%
2014,23,6/7/2014,0.73%,1.54%,1.09%,0.70%,1.19%,1.93%,0.16%,0.27%,1.38%,0.40%,0.76%,NaN,NaN,NaN,3.90%,0.10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,0.00%,0.00%,0.00%,0.00%,0.30%
2014,24,6/14/2014,0.61%,1.42%,0.99%,0.63%,1.13%,1.72%,0.15%,0.83%,1.34%,0.36%,0.72%,NaN,NaN,NaN,3.95%,0.07%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,25,6/21/2014,0.59%,1.61%,0.99%,0.61%,1.09%,1.51%,0.20%,0.35%,1.17%,0.39%,0.66%,NaN,NaN,NaN,3.77%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,26,6/28/2014,0.64%,1.50%,0.87%,0.60%,0.92%,1.65%,0.11%,0.74%,1.15%,0.27%,0.78%,NaN,NaN,NaN,3.70%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,27,7/5/2014,0.73%,1.36%,1.00%,0.57%,0.81%,1.51%,0.16%,0.78%,1.17%,0.29%,0.85%,NaN,NaN,NaN,3.63%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,28,7/12/2014,0.48%,1.31%,0.84%,0.47%,0.73%,1.45%,0.15%,0.61%,1.00%,0.33%,0.60%,NaN,NaN,NaN,3.58%,0.04%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,29,7/19/2014,0.51%,1.28%,0.78%,0.49%,0.65%,1.40%,0.16%,0.54%,1.03%,0.31%,0.60%,NaN,NaN,NaN,3.25%,0.03%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2014,30,7/26/2014,0.53%,1.13%,0.74%,0.53%,0.63%,1.22%,0.16%,0.78%,0.91%,0.18%,0.58%,NaN,NaN,NaN,3.08%,0.03%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%
2014,31,8/2/2014,0.48%,1.26%,0.76%,0.44%,0.65%,1.37%,0.17%,0.58%,0.84%,0.42%,0.48%,NaN,NaN,NaN,3.10%,0.11%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.40%,0.00%,0.00%,0.30%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
